episode,waiting_time,execution_time,n_qtasks_on_qnode,reward,reschedule_count
32,1239.2428775006063,967.0464772119738,"{'qnode_id_0': 5, 'qnode_id_1': 4, 'qnode_id_2': 5, 'qnode_id_3': 5, 'qnode_id_4': 5}",4.357665500322125,0
33,795.5915776629258,1074.6052385831329,"{'qnode_id_0': 6, 'qnode_id_1': 5, 'qnode_id_2': 5, 'qnode_id_3': 3, 'qnode_id_4': 5}",11.625821126905475,0
34,2213.7939803147387,1148.0379038203512,"{'qnode_id_0': 6, 'qnode_id_1': 5, 'qnode_id_2': 4, 'qnode_id_3': 6, 'qnode_id_4': 3}",8.267955511180388,0
35,1262.1199443149371,1206.9945878162125,"{'qnode_id_0': 7, 'qnode_id_1': 4, 'qnode_id_2': 6, 'qnode_id_3': 5, 'qnode_id_4': 2}",13.634049320060168,0
36,1827.8402685580645,950.9742344635553,"{'qnode_id_0': 8, 'qnode_id_1': 7, 'qnode_id_2': 3, 'qnode_id_3': 4, 'qnode_id_4': 2}",11.3179490705774,0
37,1660.4721168976048,1129.9223700823602,"{'qnode_id_0': 5, 'qnode_id_1': 2, 'qnode_id_2': 5, 'qnode_id_3': 6, 'qnode_id_4': 6}",4.3572345999883195,0
38,2233.1871138502206,1022.9322580596651,"{'qnode_id_0': 9, 'qnode_id_1': 2, 'qnode_id_2': 4, 'qnode_id_3': 6, 'qnode_id_4': 3}",8.246569870250323,0
39,1448.7811142305409,963.680700284839,"{'qnode_id_0': 6, 'qnode_id_1': 3, 'qnode_id_2': 3, 'qnode_id_3': 8, 'qnode_id_4': 4}",3.374147335546985,0
40,1220.7972838487008,1064.3247107828593,"{'qnode_id_0': 5, 'qnode_id_1': 4, 'qnode_id_2': 8, 'qnode_id_3': 5, 'qnode_id_4': 2}",4.428709328311165,0
41,1113.0670491814835,1223.1832657986547,"{'qnode_id_0': 7, 'qnode_id_1': 5, 'qnode_id_2': 4, 'qnode_id_3': 3, 'qnode_id_4': 5}",8.439275775411506,0
42,2577.44034388456,1230.581536005855,"{'qnode_id_0': 7, 'qnode_id_1': 4, 'qnode_id_2': 4, 'qnode_id_3': 7, 'qnode_id_4': 2}",10.164188269872614,0
43,951.1210086920819,1252.8928479504998,"{'qnode_id_0': 6, 'qnode_id_1': 4, 'qnode_id_2': 4, 'qnode_id_3': 7, 'qnode_id_4': 3}",5.715790215157981,0
44,2229.2930913085784,1005.4153043156065,"{'qnode_id_0': 7, 'qnode_id_1': 4, 'qnode_id_2': 3, 'qnode_id_3': 6, 'qnode_id_4': 4}",8.7787512357582,0
45,1169.7382625965256,843.4644844896595,"{'qnode_id_0': 6, 'qnode_id_1': 3, 'qnode_id_2': 5, 'qnode_id_3': 4, 'qnode_id_4': 6}",11.16521449764909,0
46,2014.7727359020805,1196.8447993275327,"{'qnode_id_0': 6, 'qnode_id_1': 4, 'qnode_id_2': 6, 'qnode_id_3': 6, 'qnode_id_4': 2}",4.439843736771962,0
47,1902.8200416066688,996.6754783263171,"{'qnode_id_0': 5, 'qnode_id_1': 3, 'qnode_id_2': 2, 'qnode_id_3': 9, 'qnode_id_4': 5}",8.057198366134422,0
48,566.387776794908,680.4230969056428,"{'qnode_id_0': 6, 'qnode_id_1': 6, 'qnode_id_2': 1, 'qnode_id_3': 5, 'qnode_id_4': 6}",3.6565245823670525,0
49,2211.2874684347676,1387.3103611453018,"{'qnode_id_0': 8, 'qnode_id_1': 5, 'qnode_id_2': 3, 'qnode_id_3': 5, 'qnode_id_4': 3}",7.906038859639969,0
50,3156.157669078663,1239.9411834774705,"{'qnode_id_0': 6, 'qnode_id_1': 3, 'qnode_id_2': 3, 'qnode_id_3': 8, 'qnode_id_4': 4}",4.188291750261795,0
51,2574.6801388165964,1361.725937016984,"{'qnode_id_0': 5, 'qnode_id_1': 5, 'qnode_id_2': 4, 'qnode_id_3': 9, 'qnode_id_4': 1}",17.152877964572944,0
52,1117.101157522105,916.1176196116514,"{'qnode_id_0': 7, 'qnode_id_1': 4, 'qnode_id_2': 5, 'qnode_id_3': 4, 'qnode_id_4': 4}",11.579483774280268,0
53,1269.0811118911624,852.3299275688487,"{'qnode_id_0': 6, 'qnode_id_1': 5, 'qnode_id_2': 4, 'qnode_id_3': 6, 'qnode_id_4': 3}",8.1022943809675,0
54,1059.123689003914,1013.8084631940119,"{'qnode_id_0': 4, 'qnode_id_1': 2, 'qnode_id_2': 8, 'qnode_id_3': 5, 'qnode_id_4': 5}",1.6451393897860584,0
55,1407.1416512891124,1210.2554926351756,"{'qnode_id_0': 5, 'qnode_id_1': 6, 'qnode_id_2': 5, 'qnode_id_3': 6, 'qnode_id_4': 2}",1.8949797974753444,0
56,1905.3981042075634,951.0279497338582,"{'qnode_id_0': 3, 'qnode_id_1': 3, 'qnode_id_2': 6, 'qnode_id_3': 8, 'qnode_id_4': 4}",4.981553220663709,0
57,1687.2656273657503,940.9187198310605,"{'qnode_id_0': 6, 'qnode_id_1': 2, 'qnode_id_2': 5, 'qnode_id_3': 6, 'qnode_id_4': 5}",6.888969133896112,0
58,1586.6437510048972,1369.0704436779179,"{'qnode_id_0': 6, 'qnode_id_1': 6, 'qnode_id_2': 4, 'qnode_id_3': 6, 'qnode_id_4': 2}",6.702122997970939,0
59,3994.3626072133593,1506.0467524745648,"{'qnode_id_0': 7, 'qnode_id_1': 4, 'qnode_id_2': 4, 'qnode_id_3': 5, 'qnode_id_4': 4}",5.250420013141913,0
60,4261.679827671369,1403.2193289708412,"{'qnode_id_0': 7, 'qnode_id_1': 4, 'qnode_id_2': 2, 'qnode_id_3': 9, 'qnode_id_4': 2}",4.391455565364046,0
61,1952.1378450917641,925.4565044821022,"{'qnode_id_0': 7, 'qnode_id_1': 4, 'qnode_id_2': 4, 'qnode_id_3': 6, 'qnode_id_4': 3}",4.103656178370503,0
62,1851.0756447541694,1291.7483707271435,"{'qnode_id_0': 9, 'qnode_id_1': 5, 'qnode_id_2': 4, 'qnode_id_3': 4, 'qnode_id_4': 2}",1.841322996466652,0
