episode,waiting_time,execution_time,n_qtasks_on_qnode,reward,reschedule_count
58,2783.8243972998553,1391.8149974909106,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 9}",-165.50571094845216,46
59,4746.424689318885,1503.3920229958244,"{'qnode_id_0': 7, 'qnode_id_1': 7, 'qnode_id_2': 6, 'qnode_id_3': 6, 'qnode_id_4': 6}",-75.6115107472685,17
60,6218.6830839822605,1408.0027114526265,"{'qnode_id_0': 10, 'qnode_id_1': 9, 'qnode_id_2': 10, 'qnode_id_3': 10, 'qnode_id_4': 10}",-248.9227281212153,85
61,2785.2200752501253,921.4996542434053,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 8}",-158.2302890991269,37
62,2791.474560761107,1345.1465169296987,"{'qnode_id_0': 7, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 7}",-135.81358037074799,33
63,2697.247060366663,1162.687442886288,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 8}",-138.92481184020212,37
64,4218.6925700584,1273.4524670179349,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 9, 'qnode_id_3': 9, 'qnode_id_4': 8}",-169.6007820648654,42
65,2203.7658797194263,1010.3385078995361,"{'qnode_id_0': 7, 'qnode_id_1': 7, 'qnode_id_2': 6, 'qnode_id_3': 6, 'qnode_id_4': 7}",-87.90339074002364,21
66,6737.466861246488,1592.7507512927255,"{'qnode_id_0': 7, 'qnode_id_1': 7, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 7}",-127.13120585475737,40
67,7461.654947151803,1862.9503150818528,"{'qnode_id_0': 8, 'qnode_id_1': 7, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 8}",-125.71825108892217,30
68,2862.420815596481,1357.0436752441856,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 8}",-149.04057172992128,58
69,1979.1269631813202,856.2907722053425,"{'qnode_id_0': 6, 'qnode_id_1': 7, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 7}",-94.33185985915996,25
70,3635.2541124796635,1319.7534998821043,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 7}",-146.37993398775922,33
71,2705.816913421665,1036.2920413016284,"{'qnode_id_0': 7, 'qnode_id_1': 7, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 7}",-109.075603172358,27
72,1119.3542276661801,799.0426002808639,"{'qnode_id_0': 6, 'qnode_id_1': 6, 'qnode_id_2': 6, 'qnode_id_3': 6, 'qnode_id_4': 7}",-69.25993658715227,21
73,4992.897140549922,1246.974673269644,"{'qnode_id_0': 10, 'qnode_id_1': 10, 'qnode_id_2': 9, 'qnode_id_3': 9, 'qnode_id_4': 9}",-228.1410008247082,75
74,1959.6893115695948,1444.4827873514823,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 9, 'qnode_id_3': 9, 'qnode_id_4': 8}",-176.23647729000982,53
75,2561.558261033465,861.9936437406326,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 8}",-157.64858913205669,48
76,2815.7850292862204,961.6171065558815,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 9}",-166.95389019304818,56
77,4023.2013918163066,1483.1958814215855,"{'qnode_id_0': 9, 'qnode_id_1': 9, 'qnode_id_2': 9, 'qnode_id_3': 9, 'qnode_id_4': 8}",-192.04967142795803,63
78,4052.5410524098434,1395.8780213019122,"{'qnode_id_0': 9, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 9}",-178.13999970454003,53
79,4248.641153760314,1243.2363297654845,"{'qnode_id_0': 8, 'qnode_id_1': 9, 'qnode_id_2': 9, 'qnode_id_3': 8, 'qnode_id_4': 8}",-174.17513639900776,52
80,3511.1845228628417,967.673068436607,"{'qnode_id_0': 9, 'qnode_id_1': 9, 'qnode_id_2': 9, 'qnode_id_3': 10, 'qnode_id_4': 9}",-217.1983464764492,63
81,1670.761534814883,1155.186517220885,"{'qnode_id_0': 7, 'qnode_id_1': 6, 'qnode_id_2': 6, 'qnode_id_3': 6, 'qnode_id_4': 7}",-78.10530487456639,21
82,3488.6640351749575,1067.933730704453,"{'qnode_id_0': 7, 'qnode_id_1': 7, 'qnode_id_2': 7, 'qnode_id_3': 7, 'qnode_id_4': 7}",-105.4192975643496,27
83,3970.398682392467,1255.663289276109,"{'qnode_id_0': 8, 'qnode_id_1': 8, 'qnode_id_2': 8, 'qnode_id_3': 8, 'qnode_id_4': 8}",-156.57589202247058,42
